"Id_Attribution_Materiel_Prof","Cle_Personnel","Clé_Elève","Cle_Inventaire_Materiel","Date_Heure_Pret_Materiel","Date_Heure_Retour_Materiel","Clé_Etat_Initial","Clé_Etat_Final","Dégradation","Remise"
5151,,693,1929,2025-09-02 10:11:31.000,,1,,0,0
5152,,693,2185,2025-09-02 10:11:34.000,,1,,0,0
5153,,695,2189,2025-09-02 10:11:42.000,2026-03-17 11:17:55.000,1,1,0,0
5154,,695,1893,2025-09-02 10:11:50.000,2026-03-17 11:18:18.000,1,1,0,0
5155,,695,518,2025-09-02 10:11:53.000,,7,,0,0
5156,,695,594,2025-09-02 10:11:58.000,2026-03-17 11:18:10.000,7,7,0,0
5157,,695,623,2025-09-02 10:12:01.000,,7,,0,0
5158,,696,1650,2025-09-02 10:12:12.000,,7,,0,0
5159,,696,1901,2025-09-02 10:12:18.000,,1,,0,0
5160,,696,465,2025-09-02 10:12:20.000,,7,,0,0
5161,,696,586,2025-09-02 10:12:23.000,,7,,0,0
5162,,696,644,2025-09-02 10:12:25.000,,7,,0,0
5163,,698,1802,2025-09-02 10:12:33.000,,7,,0,0
5164,,698,1953,2025-09-02 10:12:37.000,,1,,0,0
5165,,698,445,2025-09-02 10:12:38.000,,7,,0,0
5166,,698,565,2025-09-02 10:12:41.000,,7,,0,0
5167,,698,657,2025-09-02 10:12:42.000,,7,,0,0
5168,,700,1656,2025-09-02 10:12:59.000,,1,,0,0
5169,,700,1913,2025-09-02 10:13:02.000,,1,,0,0
5170,,700,438,2025-09-02 10:13:04.000,,7,,0,0
5171,,700,552,2025-09-02 10:13:06.000,,7,,0,0
5172,,700,647,2025-09-02 10:13:08.000,,7,,0,0
5173,,616,2188,2025-09-02 10:13:17.000,,1,,0,0
5174,,616,1938,2025-09-02 10:13:24.000,,1,,0,0
5175,,616,479,2025-09-02 10:13:26.000,,7,,0,0
5176,,616,529,2025-09-02 10:13:27.000,,7,,0,0
5177,,616,2154,2025-09-02 10:13:34.000,,1,,0,0
5178,,710,2193,2025-09-02 10:13:54.000,,1,,0,0
5179,,710,1924,2025-09-02 10:14:04.000,,1,,0,0
5180,,710,503,2025-09-02 10:14:06.000,,7,,0,0
5181,,710,564,2025-09-02 10:14:08.000,,7,,0,0
5182,,710,664,2025-09-02 10:14:11.000,,7,,0,0
5183,,714,1638,2025-09-02 10:14:21.000,,7,,0,0
5184,,714,1898,2025-09-02 10:14:37.000,,1,,0,0
5185,,714,482,2025-09-02 10:14:38.000,,7,,0,0
5186,,714,596,2025-09-02 10:14:40.000,,7,,0,0
5187,,714,659,2025-09-02 10:14:42.000,,7,,0,0
5188,,624,1634,2025-09-02 10:18:06.000,,7,,0,0
5189,,624,1918,2025-09-02 10:18:09.000,,1,,0,0
